,verdict,instance,goal,Defences,Culprits,PRules,ORules,PStatements,OStatements,DefencesFound,Moves,Duration
0,yes,exp_acyclic_indvary1_step6_batch_yyy04.pl,d1,1,0,0,0,1,0,1,0,0.9728779792785645
1,no,exp_acyclic_depvary_step9_batch_yyy01.pl,e5,,,,,,,,,1.113326072692871
2,no,exp_cycles_depvary_step2_batch_yyy07.pl,v2,,,,,,,,,0.9427387714385986
3,no,exp_acyclic_depvary_step2_batch_yyy10.pl,d2,,,,,,,,,0.9381437301635742
4,no,exp_acyclic_depvary_step3_batch_yyy03.pl,r3,,,,,,,,,0.9617071151733398
5,no,exp_acyclic_indvary3_step7_batch_yyy03.pl,p7,,,,,,,,,0.9835076332092285
6,no,exp_cycles_indvary1_step7_batch_yyy07.pl,q7,,,,,,,,,0.9828038215637207
7,no,exp_cycles_indvary2_step7_batch_yyy10.pl,a4,,,,,,,,,1.0572164058685303
8,yes,exp_cycles_indvary2_step6_batch_yyy09.pl,u2,0,7,17,0,17,0,1,17,1.1390810012817383
9,no,exp_acyclic_indvary2_step6_batch_yyy02.pl,s5,,,,,,,,,1.0170106887817383
10,no,exp_acyclic_indvary2_step6_batch_yyy01.pl,v2,,,,,,,,,1.0181760787963867
11,no,exp_cycles_indvary3_step8_batch_yyy05.pl,q7,,,,,,,,,0.9718141555786133
12,no,exp_acyclic_indvary2_step6_batch_yyy09.pl,t5,,,,,,,,,1.0181849002838135
13,no,exp_cycles_indvary1_step1_batch_yyy05.pl,s2,,,,,,,,,0.94339919090271
14,no,exp_cycles_indvary3_step4_batch_yyy05.pl,f4,,,,,,,,,0.9626600742340088
15,yes,exp_cycles_indvary2_step5_batch_yyy10.pl,v1,0,0,6,0,6,0,1,6,1.0841450691223145
16,no,exp_cycles_indvary3_step5_batch_yyy05.pl,w5,,,,,,,,,0.9871010780334473
17,no,exp_cycles_indvary1_step2_batch_yyy10.pl,w5,,,,,,,,,0.974015474319458
18,no,exp_cycles_indvary3_step4_batch_yyy03.pl,r4,,,,,,,,,0.947983980178833
19,no,exp_cycles_indvary2_step7_batch_yyy03.pl,c6,,,,,,,,,1.0522851943969727
20,no,exp_acyclic_depvary_step4_batch_yyy10.pl,d5,,,,,,,,,0.9596021175384521
21,no,exp_acyclic_indvary1_step5_batch_yyy01.pl,t5,,,,,,,,,0.9745481014251709
22,yes,exp_cycles_indvary2_step3_batch_yyy01.pl,s1,0,7,12,0,12,0,1,12,1.08070707321167
23,no,exp_acyclic_indvary3_step4_batch_yyy05.pl,b4,,,,,,,,,0.9687747955322266
24,no,exp_acyclic_indvary3_step8_batch_yyy03.pl,r1,,,,,,,,,0.9876413345336914
25,no,exp_cycles_depvary_step8_batch_yyy09.pl,f5,,,,,,,,,1.0213682651519775
26,yes,exp_acyclic_indvary2_step8_batch_yyy07.pl,y1,0,5,10,0,10,0,1,10,1.1368777751922607
