goal,instance,verdict,duration
b6,exp_acyclic_depvary_step10_batch_yyy01.pl,no,111
c3,exp_acyclic_depvary_step10_batch_yyy01.pl,timeout,120001
d3,exp_acyclic_depvary_step10_batch_yyy01.pl,timeout,120005
c6,exp_acyclic_depvary_step10_batch_yyy02.pl,timeout,120000
d2,exp_acyclic_depvary_step10_batch_yyy02.pl,yes,2
d4,exp_acyclic_depvary_step10_batch_yyy02.pl,no,5
e2,exp_acyclic_depvary_step10_batch_yyy02.pl,timeout,120000
b4,exp_acyclic_depvary_step10_batch_yyy02.pl,no,2
f4,exp_acyclic_depvary_step10_batch_yyy03.pl,no,7
f1,exp_acyclic_depvary_step10_batch_yyy03.pl,yes,5
v5,exp_acyclic_depvary_step10_batch_yyy03.pl,timeout,120001
a3,exp_acyclic_depvary_step10_batch_yyy03.pl,timeout,120000
b5,exp_acyclic_depvary_step10_batch_yyy04.pl,timeout,120001
d4,exp_acyclic_depvary_step10_batch_yyy04.pl,yes,0
a2,exp_acyclic_depvary_step10_batch_yyy04.pl,timeout,120000
e2,exp_acyclic_depvary_step10_batch_yyy04.pl,timeout,120000
e3,exp_acyclic_depvary_step10_batch_yyy04.pl,yes,1
e5,exp_acyclic_depvary_step10_batch_yyy05.pl,timeout,120002
c5,exp_acyclic_depvary_step10_batch_yyy05.pl,yes,7
b4,exp_acyclic_depvary_step10_batch_yyy05.pl,timeout,120000
a3,exp_acyclic_depvary_step10_batch_yyy05.pl,no,8
p2,exp_acyclic_depvary_step10_batch_yyy05.pl,timeout,120000
f1,exp_acyclic_depvary_step10_batch_yyy06.pl,yes,1
f2,exp_acyclic_depvary_step10_batch_yyy06.pl,yes,4
z3,exp_acyclic_depvary_step10_batch_yyy06.pl,timeout,120000
c3,exp_acyclic_depvary_step10_batch_yyy06.pl,timeout,120000
b4,exp_acyclic_depvary_step10_batch_yyy06.pl,timeout,120000
a1,exp_acyclic_depvary_step10_batch_yyy06.pl,no,4
e2,exp_acyclic_depvary_step10_batch_yyy07.pl,timeout,120000
c4,exp_acyclic_depvary_step10_batch_yyy07.pl,yes,10
c6,exp_acyclic_depvary_step10_batch_yyy07.pl,no,4
b5,exp_acyclic_depvary_step10_batch_yyy07.pl,timeout,120001
a2,exp_acyclic_depvary_step10_batch_yyy07.pl,timeout,120000
f4,exp_acyclic_depvary_step10_batch_yyy08.pl,yes,1
d5,exp_acyclic_depvary_step10_batch_yyy08.pl,timeout,120000
q5,exp_acyclic_depvary_step10_batch_yyy08.pl,timeout,120002
b1,exp_acyclic_depvary_step10_batch_yyy08.pl,yes,5
c5,exp_acyclic_depvary_step10_batch_yyy09.pl,yes,16
s1,exp_acyclic_depvary_step10_batch_yyy09.pl,timeout,120000
a3,exp_acyclic_depvary_step10_batch_yyy09.pl,no,2
b2,exp_acyclic_depvary_step10_batch_yyy09.pl,timeout,120000
b5,exp_acyclic_depvary_step10_batch_yyy09.pl,yes,1
e2,exp_acyclic_depvary_step10_batch_yyy10.pl,no,2
b6,exp_acyclic_depvary_step10_batch_yyy10.pl,no,12
w5,exp_acyclic_depvary_step10_batch_yyy10.pl,timeout,120000
d3,exp_acyclic_depvary_step10_batch_yyy10.pl,yes,8
t1,exp_acyclic_depvary_step1_batch_yyy01.pl,yes,1
f1,exp_acyclic_depvary_step1_batch_yyy02.pl,no,0
c1,exp_acyclic_depvary_step1_batch_yyy03.pl,no,0
a1,exp_acyclic_depvary_step1_batch_yyy03.pl,yes,0
f1,exp_acyclic_depvary_step1_batch_yyy05.pl,no,0
f1,exp_acyclic_depvary_step1_batch_yyy06.pl,no,0
a1,exp_acyclic_depvary_step1_batch_yyy07.pl,yes,0
a1,exp_acyclic_depvary_step1_batch_yyy08.pl,yes,0
f1,exp_acyclic_depvary_step1_batch_yyy09.pl,no,1
d1,exp_acyclic_depvary_step1_batch_yyy10.pl,no,0
b1,exp_acyclic_depvary_step1_batch_yyy10.pl,yes,1
c1,exp_acyclic_depvary_step2_batch_yyy02.pl,yes,18
z1,exp_acyclic_depvary_step2_batch_yyy02.pl,yes,49
c2,exp_acyclic_depvary_step2_batch_yyy03.pl,yes,0
e1,exp_acyclic_depvary_step2_batch_yyy03.pl,no,0
a2,exp_acyclic_depvary_step2_batch_yyy04.pl,yes,1
q1,exp_acyclic_depvary_step2_batch_yyy05.pl,no,4
d1,exp_acyclic_depvary_step2_batch_yyy05.pl,no,21
a1,exp_acyclic_depvary_step2_batch_yyy05.pl,no,0
f1,exp_acyclic_depvary_step2_batch_yyy07.pl,yes,4
e1,exp_acyclic_depvary_step2_batch_yyy07.pl,no,1
b1,exp_acyclic_depvary_step2_batch_yyy08.pl,no,32
d1,exp_acyclic_depvary_step2_batch_yyy09.pl,yes,0
b1,exp_acyclic_depvary_step2_batch_yyy09.pl,yes,0
d1,exp_acyclic_depvary_step2_batch_yyy10.pl,yes,0
b2,exp_acyclic_depvary_step2_batch_yyy10.pl,yes,0
a1,exp_acyclic_depvary_step2_batch_yyy10.pl,yes,0
f1,exp_acyclic_depvary_step3_batch_yyy01.pl,yes,1
b1,exp_acyclic_depvary_step3_batch_yyy01.pl,no,0
f1,exp_acyclic_depvary_step3_batch_yyy03.pl,no,1
c2,exp_acyclic_depvary_step3_batch_yyy03.pl,yes,0
a1,exp_acyclic_depvary_step3_batch_yyy03.pl,yes,1
c2,exp_acyclic_depvary_step3_batch_yyy04.pl,no,1
c1,exp_acyclic_depvary_step3_batch_yyy04.pl,no,0
t2,exp_acyclic_depvary_step3_batch_yyy05.pl,no,226
f1,exp_acyclic_depvary_step3_batch_yyy05.pl,yes,1
b2,exp_acyclic_depvary_step3_batch_yyy05.pl,yes,140
y1,exp_acyclic_depvary_step3_batch_yyy06.pl,yes,46
f2,exp_acyclic_depvary_step3_batch_yyy07.pl,no,1
e1,exp_acyclic_depvary_step3_batch_yyy08.pl,yes,2
d1,exp_acyclic_depvary_step3_batch_yyy08.pl,no,0
c1,exp_acyclic_depvary_step3_batch_yyy08.pl,no,1
c2,exp_acyclic_depvary_step3_batch_yyy09.pl,no,0
s1,exp_acyclic_depvary_step3_batch_yyy09.pl,yes,31
f1,exp_acyclic_depvary_step3_batch_yyy10.pl,no,2
d2,exp_acyclic_depvary_step3_batch_yyy10.pl,no,2
b2,exp_acyclic_depvary_step4_batch_yyy01.pl,no,3
a2,exp_acyclic_depvary_step4_batch_yyy02.pl,no,1
q2,exp_acyclic_depvary_step4_batch_yyy03.pl,timeout,120000
f1,exp_acyclic_depvary_step4_batch_yyy03.pl,no,53
d2,exp_acyclic_depvary_step4_batch_yyy04.pl,yes,0
d1,exp_acyclic_depvary_step4_batch_yyy04.pl,yes,6360
s1,exp_acyclic_depvary_step4_batch_yyy04.pl,yes,1032
a1,exp_acyclic_depvary_step4_batch_yyy04.pl,no,1805
a2,exp_acyclic_depvary_step4_batch_yyy05.pl,yes,3
f2,exp_acyclic_depvary_step4_batch_yyy05.pl,no,4
c3,exp_acyclic_depvary_step4_batch_yyy06.pl,no,1
b1,exp_acyclic_depvary_step4_batch_yyy06.pl,no,0
f1,exp_acyclic_depvary_step4_batch_yyy06.pl,no,0
c3,exp_acyclic_depvary_step4_batch_yyy07.pl,yes,6
a2,exp_acyclic_depvary_step4_batch_yyy07.pl,yes,0
x1,exp_acyclic_depvary_step4_batch_yyy08.pl,yes,1
a3,exp_acyclic_depvary_step4_batch_yyy08.pl,yes,12
e2,exp_acyclic_depvary_step4_batch_yyy08.pl,no,0
u1,exp_acyclic_depvary_step4_batch_yyy08.pl,no,1
d2,exp_acyclic_depvary_step4_batch_yyy09.pl,yes,3
