goal,instance,verdict,duration
c2,exp_acyclic_depvary_step10_batch_yyy01.pl,timeout,120000
a5,exp_acyclic_depvary_step10_batch_yyy01.pl,no,502
a1,exp_acyclic_depvary_step10_batch_yyy01.pl,yes,7524
v5,exp_acyclic_depvary_step10_batch_yyy01.pl,yes,1050
f3,exp_acyclic_depvary_step10_batch_yyy02.pl,yes,582
e2,exp_acyclic_depvary_step10_batch_yyy02.pl,yes,574
u2,exp_acyclic_depvary_step10_batch_yyy02.pl,yes,581
c4,exp_acyclic_depvary_step10_batch_yyy02.pl,yes,553
a4,exp_acyclic_depvary_step10_batch_yyy02.pl,yes,548
a2,exp_acyclic_depvary_step10_batch_yyy02.pl,yes,552
a3,exp_acyclic_depvary_step10_batch_yyy02.pl,yes,591
c3,exp_acyclic_depvary_step10_batch_yyy03.pl,timeout,120000
q4,exp_acyclic_depvary_step10_batch_yyy03.pl,yes,548
u1,exp_acyclic_depvary_step10_batch_yyy03.pl,yes,551
v4,exp_acyclic_depvary_step10_batch_yyy03.pl,timeout,120000
x1,exp_acyclic_depvary_step10_batch_yyy03.pl,no,1030
a2,exp_acyclic_depvary_step10_batch_yyy03.pl,timeout,120000
s5,exp_acyclic_depvary_step10_batch_yyy04.pl,yes,1015
f1,exp_acyclic_depvary_step10_batch_yyy04.pl,timeout,120000
d5,exp_acyclic_depvary_step10_batch_yyy04.pl,yes,1697
e5,exp_acyclic_depvary_step10_batch_yyy05.pl,timeout,120000
b4,exp_acyclic_depvary_step10_batch_yyy05.pl,yes,1883
d4,exp_acyclic_depvary_step10_batch_yyy05.pl,timeout,120000
a3,exp_acyclic_depvary_step10_batch_yyy05.pl,no,1974
b6,exp_acyclic_depvary_step10_batch_yyy05.pl,yes,2005
t2,exp_acyclic_depvary_step10_batch_yyy06.pl,timeout,120000
f3,exp_acyclic_depvary_step10_batch_yyy06.pl,no,1962
f5,exp_acyclic_depvary_step10_batch_yyy06.pl,yes,2212
a1,exp_acyclic_depvary_step10_batch_yyy06.pl,no,2128
f5,exp_acyclic_depvary_step10_batch_yyy07.pl,no,2357
d5,exp_acyclic_depvary_step10_batch_yyy07.pl,no,2276
b1,exp_acyclic_depvary_step10_batch_yyy08.pl,yes,2126
q5,exp_acyclic_depvary_step10_batch_yyy08.pl,no,2590
v5,exp_acyclic_depvary_step10_batch_yyy08.pl,timeout,120000
d5,exp_acyclic_depvary_step10_batch_yyy08.pl,yes,2452
e1,exp_acyclic_depvary_step10_batch_yyy09.pl,no,2278
q5,exp_acyclic_depvary_step10_batch_yyy09.pl,timeout,120000
u1,exp_acyclic_depvary_step10_batch_yyy09.pl,yes,2531
f1,exp_acyclic_depvary_step10_batch_yyy09.pl,no,2523
s1,exp_acyclic_depvary_step10_batch_yyy09.pl,timeout,120000
f2,exp_acyclic_depvary_step10_batch_yyy09.pl,no,2337
c3,exp_acyclic_depvary_step10_batch_yyy09.pl,no,2479
d2,exp_acyclic_depvary_step10_batch_yyy10.pl,yes,2429
e1,exp_acyclic_depvary_step10_batch_yyy10.pl,yes,2374
e2,exp_acyclic_depvary_step10_batch_yyy10.pl,no,2155
a5,exp_acyclic_depvary_step10_batch_yyy10.pl,no,2245
c4,exp_acyclic_depvary_step10_batch_yyy10.pl,no,2555
t1,exp_acyclic_depvary_step1_batch_yyy01.pl,yes,2458
e1,exp_acyclic_depvary_step1_batch_yyy02.pl,yes,2365
d1,exp_acyclic_depvary_step1_batch_yyy03.pl,yes,2537
d1,exp_acyclic_depvary_step1_batch_yyy04.pl,no,2332
c1,exp_acyclic_depvary_step1_batch_yyy06.pl,no,2490
b1,exp_acyclic_depvary_step1_batch_yyy06.pl,yes,2481
y1,exp_acyclic_depvary_step1_batch_yyy09.pl,no,2306
d1,exp_acyclic_depvary_step1_batch_yyy09.pl,yes,2474
u1,exp_acyclic_depvary_step1_batch_yyy10.pl,yes,2412
e1,exp_acyclic_depvary_step2_batch_yyy01.pl,yes,2508
d1,exp_acyclic_depvary_step2_batch_yyy01.pl,no,2519
b2,exp_acyclic_depvary_step2_batch_yyy01.pl,no,2529
b1,exp_acyclic_depvary_step2_batch_yyy02.pl,yes,2308
a2,exp_acyclic_depvary_step2_batch_yyy02.pl,no,2472
d1,exp_acyclic_depvary_step2_batch_yyy02.pl,no,2164
a2,exp_acyclic_depvary_step2_batch_yyy06.pl,yes,2208
x1,exp_acyclic_depvary_step2_batch_yyy06.pl,no,2478
r2,exp_acyclic_depvary_step2_batch_yyy07.pl,no,2533
c1,exp_acyclic_depvary_step2_batch_yyy07.pl,yes,2152
e1,exp_acyclic_depvary_step2_batch_yyy08.pl,yes,2644
f1,exp_acyclic_depvary_step2_batch_yyy08.pl,yes,2519
d1,exp_acyclic_depvary_step2_batch_yyy09.pl,yes,2412
a2,exp_acyclic_depvary_step2_batch_yyy10.pl,yes,2404
e1,exp_acyclic_depvary_step2_batch_yyy10.pl,no,2382
a2,exp_acyclic_depvary_step3_batch_yyy01.pl,no,2153
d1,exp_acyclic_depvary_step3_batch_yyy01.pl,yes,2443
y1,exp_acyclic_depvary_step3_batch_yyy02.pl,no,2439
c2,exp_acyclic_depvary_step3_batch_yyy04.pl,no,2798
e2,exp_acyclic_depvary_step3_batch_yyy05.pl,yes,2498
b1,exp_acyclic_depvary_step3_batch_yyy05.pl,no,2523
a1,exp_acyclic_depvary_step3_batch_yyy05.pl,no,2488
b2,exp_acyclic_depvary_step3_batch_yyy06.pl,yes,2624
z1,exp_acyclic_depvary_step3_batch_yyy07.pl,no,2354
a2,exp_acyclic_depvary_step3_batch_yyy08.pl,yes,2303
c2,exp_acyclic_depvary_step3_batch_yyy08.pl,yes,2347
b1,exp_acyclic_depvary_step3_batch_yyy08.pl,yes,2676
w1,exp_acyclic_depvary_step3_batch_yyy09.pl,no,2327
b1,exp_acyclic_depvary_step3_batch_yyy10.pl,no,2700
d1,exp_acyclic_depvary_step3_batch_yyy10.pl,no,2741
w2,exp_acyclic_depvary_step4_batch_yyy01.pl,yes,2651
s2,exp_acyclic_depvary_step4_batch_yyy01.pl,no,2410
c3,exp_acyclic_depvary_step4_batch_yyy01.pl,no,2264
a2,exp_acyclic_depvary_step4_batch_yyy01.pl,no,2592
f1,exp_acyclic_depvary_step4_batch_yyy02.pl,no,2360
d2,exp_acyclic_depvary_step4_batch_yyy02.pl,yes,2756
a2,exp_acyclic_depvary_step4_batch_yyy02.pl,no,2344
z2,exp_acyclic_depvary_step4_batch_yyy02.pl,no,2447
b2,exp_acyclic_depvary_step4_batch_yyy03.pl,yes,2653
p2,exp_acyclic_depvary_step4_batch_yyy04.pl,no,3635
x1,exp_acyclic_depvary_step4_batch_yyy05.pl,yes,2532
b3,exp_acyclic_depvary_step4_batch_yyy05.pl,yes,2588
a2,exp_acyclic_depvary_step4_batch_yyy05.pl,yes,2616
d1,exp_acyclic_depvary_step4_batch_yyy06.pl,no,2465
e1,exp_acyclic_depvary_step4_batch_yyy07.pl,no,2451
b3,exp_acyclic_depvary_step4_batch_yyy07.pl,yes,2244
q2,exp_acyclic_depvary_step4_batch_yyy08.pl,no,2660
d2,exp_acyclic_depvary_step4_batch_yyy09.pl,yes,2528
a1,exp_acyclic_depvary_step4_batch_yyy10.pl,yes,2462
d1,exp_acyclic_depvary_step4_batch_yyy10.pl,yes,2625
b3,exp_acyclic_depvary_step5_batch_yyy01.pl,yes,2404
c3,exp_acyclic_depvary_step5_batch_yyy01.pl,yes,2217
e2,exp_acyclic_depvary_step5_batch_yyy02.pl,no,2392
c2,exp_acyclic_depvary_step5_batch_yyy03.pl,no,2386
e3,exp_acyclic_depvary_step5_batch_yyy03.pl,yes,2584
b2,exp_acyclic_depvary_step5_batch_yyy03.pl,yes,4058
f1,exp_acyclic_depvary_step5_batch_yyy04.pl,yes,2847
z2,exp_acyclic_depvary_step5_batch_yyy04.pl,no,2259
t1,exp_acyclic_depvary_step5_batch_yyy04.pl,no,2334
e2,exp_acyclic_depvary_step5_batch_yyy05.pl,yes,2260
d1,exp_acyclic_depvary_step5_batch_yyy05.pl,yes,4146
r3,exp_acyclic_depvary_step5_batch_yyy05.pl,no,4619
c2,exp_acyclic_depvary_step5_batch_yyy06.pl,no,2335
s1,exp_acyclic_depvary_step5_batch_yyy07.pl,yes,2489
b2,exp_acyclic_depvary_step5_batch_yyy07.pl,no,2632
b2,exp_acyclic_depvary_step5_batch_yyy08.pl,no,2350
b3,exp_acyclic_depvary_step5_batch_yyy09.pl,no,2546
e2,exp_acyclic_depvary_step5_batch_yyy09.pl,no,2577
a2,exp_acyclic_depvary_step5_batch_yyy10.pl,no,2371
q1,exp_acyclic_depvary_step5_batch_yyy10.pl,yes,2497
p2,exp_acyclic_depvary_step5_batch_yyy10.pl,no,2327
e1,exp_acyclic_depvary_step5_batch_yyy10.pl,no,2868
f1,exp_acyclic_depvary_step6_batch_yyy01.pl,yes,2830
a2,exp_acyclic_depvary_step6_batch_yyy01.pl,no,2580
b1,exp_acyclic_depvary_step6_batch_yyy01.pl,no,2636
r1,exp_acyclic_depvary_step6_batch_yyy01.pl,yes,2412
v2,exp_acyclic_depvary_step6_batch_yyy02.pl,yes,2904
e2,exp_acyclic_depvary_step6_batch_yyy02.pl,no,2378
c4,exp_acyclic_depvary_step6_batch_yyy02.pl,no,2364
a3,exp_acyclic_depvary_step6_batch_yyy02.pl,yes,2365
f2,exp_acyclic_depvary_step6_batch_yyy02.pl,no,3006
x1,exp_acyclic_depvary_step6_batch_yyy03.pl,yes,2280
q2,exp_acyclic_depvary_step6_batch_yyy03.pl,yes,2600
b1,exp_acyclic_depvary_step6_batch_yyy03.pl,no,2436
b3,exp_acyclic_depvary_step6_batch_yyy03.pl,yes,2459
