goal,instance,verdict,duration
c2,exp_acyclic_depvary_step10_batch_yyy01.pl,yes,27
a5,exp_acyclic_depvary_step10_batch_yyy01.pl,no,18
a1,exp_acyclic_depvary_step10_batch_yyy01.pl,yes,18
v5,exp_acyclic_depvary_step10_batch_yyy01.pl,yes,17
f3,exp_acyclic_depvary_step10_batch_yyy02.pl,yes,16
e2,exp_acyclic_depvary_step10_batch_yyy02.pl,yes,16
u2,exp_acyclic_depvary_step10_batch_yyy02.pl,yes,16
c4,exp_acyclic_depvary_step10_batch_yyy02.pl,yes,16
a4,exp_acyclic_depvary_step10_batch_yyy02.pl,yes,16
a2,exp_acyclic_depvary_step10_batch_yyy02.pl,yes,16
a3,exp_acyclic_depvary_step10_batch_yyy02.pl,yes,16
c3,exp_acyclic_depvary_step10_batch_yyy03.pl,yes,19
q4,exp_acyclic_depvary_step10_batch_yyy03.pl,yes,19
u1,exp_acyclic_depvary_step10_batch_yyy03.pl,yes,19
v4,exp_acyclic_depvary_step10_batch_yyy03.pl,yes,19
x1,exp_acyclic_depvary_step10_batch_yyy03.pl,no,19
a2,exp_acyclic_depvary_step10_batch_yyy03.pl,yes,19
s5,exp_acyclic_depvary_step10_batch_yyy04.pl,yes,19
f1,exp_acyclic_depvary_step10_batch_yyy04.pl,yes,19
d5,exp_acyclic_depvary_step10_batch_yyy04.pl,yes,19
e5,exp_acyclic_depvary_step10_batch_yyy05.pl,no,18
b4,exp_acyclic_depvary_step10_batch_yyy05.pl,yes,18
d4,exp_acyclic_depvary_step10_batch_yyy05.pl,yes,18
a3,exp_acyclic_depvary_step10_batch_yyy05.pl,no,35
b6,exp_acyclic_depvary_step10_batch_yyy05.pl,yes,18
t2,exp_acyclic_depvary_step10_batch_yyy06.pl,no,20
f3,exp_acyclic_depvary_step10_batch_yyy06.pl,no,20
f5,exp_acyclic_depvary_step10_batch_yyy06.pl,yes,20
a1,exp_acyclic_depvary_step10_batch_yyy06.pl,no,20
f5,exp_acyclic_depvary_step10_batch_yyy07.pl,no,18
d5,exp_acyclic_depvary_step10_batch_yyy07.pl,no,18
b1,exp_acyclic_depvary_step10_batch_yyy08.pl,yes,17
q5,exp_acyclic_depvary_step10_batch_yyy08.pl,no,22
v5,exp_acyclic_depvary_step10_batch_yyy08.pl,yes,17
d5,exp_acyclic_depvary_step10_batch_yyy08.pl,yes,17
e1,exp_acyclic_depvary_step10_batch_yyy09.pl,no,20
q5,exp_acyclic_depvary_step10_batch_yyy09.pl,yes,20
u1,exp_acyclic_depvary_step10_batch_yyy09.pl,yes,20
f1,exp_acyclic_depvary_step10_batch_yyy09.pl,no,20
s1,exp_acyclic_depvary_step10_batch_yyy09.pl,no,20
f2,exp_acyclic_depvary_step10_batch_yyy09.pl,no,20
c3,exp_acyclic_depvary_step10_batch_yyy09.pl,no,20
