instance,goal,verdict,duration
exp_acyclic_depvary_step10_batch_yyy01.pl,a6,timeout,5000
exp_acyclic_depvary_step10_batch_yyy01.pl,b2,yes,136
exp_acyclic_depvary_step10_batch_yyy01.pl,d3,timeout,5001
exp_acyclic_depvary_step10_batch_yyy01.pl,a2,yes,187
exp_acyclic_depvary_step10_batch_yyy01.pl,f5,yes,91
exp_acyclic_depvary_step10_batch_yyy01.pl,b6,timeout,5000
exp_acyclic_depvary_step10_batch_yyy01.pl,c4,timeout,5000
exp_acyclic_depvary_step10_batch_yyy01.pl,c1,no,1042
exp_acyclic_depvary_step10_batch_yyy01.pl,a4,timeout,5001
exp_acyclic_depvary_step10_batch_yyy02.pl,c2,no,59
exp_acyclic_depvary_step10_batch_yyy02.pl,w4,yes,21
exp_acyclic_depvary_step10_batch_yyy02.pl,a2,yes,42
exp_acyclic_depvary_step10_batch_yyy02.pl,c6,no,165
exp_acyclic_depvary_step10_batch_yyy02.pl,d1,no,239
exp_acyclic_depvary_step10_batch_yyy02.pl,b1,no,86
exp_acyclic_depvary_step10_batch_yyy02.pl,a1,no,333
exp_acyclic_depvary_step10_batch_yyy02.pl,d5,no,299
exp_acyclic_depvary_step10_batch_yyy02.pl,e1,yes,116
exp_acyclic_depvary_step10_batch_yyy03.pl,z5,yes,54
exp_acyclic_depvary_step10_batch_yyy03.pl,e3,yes,4490
exp_acyclic_depvary_step10_batch_yyy03.pl,c6,no,2008
exp_acyclic_depvary_step10_batch_yyy03.pl,f5,yes,62
exp_acyclic_depvary_step10_batch_yyy03.pl,e2,yes,530
exp_acyclic_depvary_step10_batch_yyy03.pl,a3,timeout,5000
exp_acyclic_depvary_step10_batch_yyy03.pl,d2,timeout,5000
exp_acyclic_depvary_step10_batch_yyy04.pl,c3,timeout,5000
exp_acyclic_depvary_step10_batch_yyy04.pl,b2,timeout,5000
exp_acyclic_depvary_step10_batch_yyy04.pl,a1,yes,454
exp_acyclic_depvary_step10_batch_yyy04.pl,b1,timeout,5000
exp_acyclic_depvary_step10_batch_yyy04.pl,e5,timeout,5000
exp_acyclic_depvary_step10_batch_yyy04.pl,b5,timeout,5000
exp_acyclic_depvary_step10_batch_yyy04.pl,d2,timeout,5000
exp_acyclic_depvary_step10_batch_yyy04.pl,s5,yes,233
exp_acyclic_depvary_step10_batch_yyy05.pl,a4,no,2699
exp_acyclic_depvary_step10_batch_yyy05.pl,d5,no,121
exp_acyclic_depvary_step10_batch_yyy05.pl,c1,yes,62
exp_acyclic_depvary_step10_batch_yyy05.pl,d4,yes,465
exp_acyclic_depvary_step10_batch_yyy05.pl,b2,yes,483
exp_acyclic_depvary_step10_batch_yyy05.pl,b6,yes,68
exp_acyclic_depvary_step10_batch_yyy06.pl,f3,no,57
exp_acyclic_depvary_step10_batch_yyy06.pl,a1,no,362
exp_acyclic_depvary_step10_batch_yyy06.pl,y2,yes,53
exp_acyclic_depvary_step10_batch_yyy06.pl,c3,yes,557
exp_acyclic_depvary_step10_batch_yyy06.pl,f5,yes,82
exp_acyclic_depvary_step10_batch_yyy06.pl,e5,yes,69
exp_acyclic_depvary_step10_batch_yyy06.pl,e3,no,337
exp_acyclic_depvary_step10_batch_yyy06.pl,c4,no,3992
exp_acyclic_depvary_step10_batch_yyy07.pl,a2,yes,2715
exp_acyclic_depvary_step10_batch_yyy07.pl,d2,yes,239
exp_acyclic_depvary_step10_batch_yyy07.pl,e3,yes,444
exp_acyclic_depvary_step10_batch_yyy07.pl,v4,no,2290
exp_acyclic_depvary_step10_batch_yyy07.pl,d5,no,282
exp_acyclic_depvary_step10_batch_yyy07.pl,v2,yes,558
exp_acyclic_depvary_step10_batch_yyy07.pl,b4,no,143
exp_acyclic_depvary_step10_batch_yyy07.pl,f5,no,312
exp_acyclic_depvary_step10_batch_yyy08.pl,c4,no,154
exp_acyclic_depvary_step10_batch_yyy08.pl,c3,yes,174
exp_acyclic_depvary_step10_batch_yyy08.pl,r3,no,75
exp_acyclic_depvary_step10_batch_yyy08.pl,x3,yes,1579
exp_acyclic_depvary_step10_batch_yyy08.pl,c5,no,1364
exp_acyclic_depvary_step10_batch_yyy08.pl,f1,yes,84
exp_acyclic_depvary_step10_batch_yyy08.pl,e2,no,58
exp_acyclic_depvary_step10_batch_yyy08.pl,d1,timeout,5001
exp_acyclic_depvary_step10_batch_yyy08.pl,e4,timeout,5000
exp_acyclic_depvary_step10_batch_yyy08.pl,e5,timeout,5000
exp_acyclic_depvary_step10_batch_yyy09.pl,t4,yes,50
exp_acyclic_depvary_step10_batch_yyy09.pl,c1,no,67
exp_acyclic_depvary_step10_batch_yyy09.pl,a4,yes,71
exp_acyclic_depvary_step10_batch_yyy09.pl,f2,timeout,5001
exp_acyclic_depvary_step10_batch_yyy09.pl,d2,timeout,5000
exp_acyclic_depvary_step10_batch_yyy09.pl,e2,timeout,5000
exp_acyclic_depvary_step10_batch_yyy09.pl,a2,yes,67
exp_acyclic_depvary_step10_batch_yyy10.pl,f2,no,58
exp_acyclic_depvary_step10_batch_yyy10.pl,x4,no,554
exp_acyclic_depvary_step10_batch_yyy10.pl,b5,no,3078
exp_acyclic_depvary_step10_batch_yyy10.pl,b2,yes,114
exp_acyclic_depvary_step10_batch_yyy10.pl,q2,no,717
exp_acyclic_depvary_step10_batch_yyy10.pl,a6,yes,600
exp_acyclic_depvary_step10_batch_yyy10.pl,b6,no,56
exp_acyclic_depvary_step10_batch_yyy10.pl,c1,yes,81
exp_acyclic_depvary_step10_batch_yyy10.pl,c5,yes,356
exp_acyclic_depvary_step1_batch_yyy01.pl,e1,no,1
exp_acyclic_depvary_step1_batch_yyy02.pl,b1,yes,1
