instance,goal,verdict,duration
exp_acyclic_depvary_step10_batch_yyy01.pl,c2,yes,2841
exp_acyclic_depvary_step10_batch_yyy01.pl,a5,no,10
exp_acyclic_depvary_step10_batch_yyy01.pl,a1,timeout,120004
exp_acyclic_depvary_step10_batch_yyy01.pl,v5,timeout,120000
exp_acyclic_depvary_step10_batch_yyy02.pl,f3,yes,12111
exp_acyclic_depvary_step10_batch_yyy02.pl,e2,yes,29
exp_acyclic_depvary_step10_batch_yyy02.pl,u2,yes,65
exp_acyclic_depvary_step10_batch_yyy02.pl,c4,yes,0
exp_acyclic_depvary_step10_batch_yyy02.pl,a4,yes,34
exp_acyclic_depvary_step10_batch_yyy02.pl,a2,yes,260
exp_acyclic_depvary_step10_batch_yyy02.pl,a3,yes,12153
exp_acyclic_depvary_step10_batch_yyy03.pl,c3,yes,937
exp_acyclic_depvary_step10_batch_yyy03.pl,q4,yes,12
exp_acyclic_depvary_step10_batch_yyy03.pl,u1,yes,52
exp_acyclic_depvary_step10_batch_yyy03.pl,v4,timeout,120000
exp_acyclic_depvary_step10_batch_yyy03.pl,x1,timeout,120001
exp_acyclic_depvary_step10_batch_yyy03.pl,a2,yes,831
exp_acyclic_depvary_step10_batch_yyy04.pl,s5,timeout,120000
exp_acyclic_depvary_step10_batch_yyy04.pl,f1,timeout,120000
exp_acyclic_depvary_step10_batch_yyy04.pl,d5,yes,56744
exp_acyclic_depvary_step10_batch_yyy05.pl,e5,timeout,120002
exp_acyclic_depvary_step10_batch_yyy05.pl,b4,yes,80
exp_acyclic_depvary_step10_batch_yyy05.pl,d4,timeout,120000
exp_acyclic_depvary_step10_batch_yyy05.pl,a3,no,5
exp_acyclic_depvary_step10_batch_yyy05.pl,b6,yes,7
exp_acyclic_depvary_step10_batch_yyy06.pl,t2,timeout,120001
exp_acyclic_depvary_step10_batch_yyy06.pl,f3,no,4
exp_acyclic_depvary_step10_batch_yyy06.pl,f5,yes,27
exp_acyclic_depvary_step10_batch_yyy06.pl,a1,no,5
exp_acyclic_depvary_step10_batch_yyy07.pl,f5,timeout,120000
exp_acyclic_depvary_step10_batch_yyy07.pl,d5,timeout,120001
exp_acyclic_depvary_step10_batch_yyy08.pl,b1,yes,11
exp_acyclic_depvary_step10_batch_yyy08.pl,q5,timeout,120009
exp_acyclic_depvary_step10_batch_yyy08.pl,v5,timeout,120000
exp_acyclic_depvary_step10_batch_yyy08.pl,d5,yes,59
exp_acyclic_depvary_step10_batch_yyy09.pl,e1,no,6
exp_acyclic_depvary_step10_batch_yyy09.pl,q5,yes,83
exp_acyclic_depvary_step10_batch_yyy09.pl,u1,yes,300
exp_acyclic_depvary_step10_batch_yyy09.pl,f1,no,4
exp_acyclic_depvary_step10_batch_yyy09.pl,s1,timeout,120001
exp_acyclic_depvary_step10_batch_yyy09.pl,f2,no,3
exp_acyclic_depvary_step10_batch_yyy09.pl,c3,no,2
exp_acyclic_depvary_step10_batch_yyy10.pl,d2,yes,1
exp_acyclic_depvary_step10_batch_yyy10.pl,e1,yes,0
exp_acyclic_depvary_step10_batch_yyy10.pl,e2,no,3
exp_acyclic_depvary_step10_batch_yyy10.pl,a5,no,2
exp_acyclic_depvary_step10_batch_yyy10.pl,c4,no,4
exp_acyclic_depvary_step1_batch_yyy01.pl,t1,yes,1
exp_acyclic_depvary_step1_batch_yyy02.pl,e1,yes,0
exp_acyclic_depvary_step1_batch_yyy03.pl,d1,yes,0
exp_acyclic_depvary_step1_batch_yyy04.pl,d1,no,0
exp_acyclic_depvary_step1_batch_yyy06.pl,c1,no,0
exp_acyclic_depvary_step1_batch_yyy06.pl,b1,yes,0
exp_acyclic_depvary_step1_batch_yyy09.pl,y1,no,1
exp_acyclic_depvary_step1_batch_yyy09.pl,d1,yes,0
exp_acyclic_depvary_step1_batch_yyy10.pl,u1,yes,2
exp_acyclic_depvary_step2_batch_yyy01.pl,e1,yes,0
exp_acyclic_depvary_step2_batch_yyy01.pl,d1,no,0
exp_acyclic_depvary_step2_batch_yyy01.pl,b2,no,1
exp_acyclic_depvary_step2_batch_yyy02.pl,b1,yes,1
exp_acyclic_depvary_step2_batch_yyy02.pl,a2,no,0
exp_acyclic_depvary_step2_batch_yyy02.pl,d1,no,0
exp_acyclic_depvary_step2_batch_yyy06.pl,a2,yes,0
exp_acyclic_depvary_step2_batch_yyy06.pl,x1,no,239
exp_acyclic_depvary_step2_batch_yyy07.pl,r2,no,23
exp_acyclic_depvary_step2_batch_yyy07.pl,c1,yes,0
exp_acyclic_depvary_step2_batch_yyy08.pl,e1,yes,1
exp_acyclic_depvary_step2_batch_yyy08.pl,f1,yes,0
exp_acyclic_depvary_step2_batch_yyy09.pl,d1,yes,0
exp_acyclic_depvary_step2_batch_yyy10.pl,a2,yes,0
exp_acyclic_depvary_step2_batch_yyy10.pl,e1,no,0
exp_acyclic_depvary_step3_batch_yyy01.pl,a2,no,0
exp_acyclic_depvary_step3_batch_yyy01.pl,d1,yes,0
exp_acyclic_depvary_step3_batch_yyy02.pl,y1,no,25
exp_acyclic_depvary_step3_batch_yyy04.pl,c2,no,1
exp_acyclic_depvary_step3_batch_yyy05.pl,e2,yes,7
exp_acyclic_depvary_step3_batch_yyy05.pl,b1,no,0
exp_acyclic_depvary_step3_batch_yyy05.pl,a1,no,168
exp_acyclic_depvary_step3_batch_yyy06.pl,b2,yes,0
exp_acyclic_depvary_step3_batch_yyy07.pl,z1,no,529
exp_acyclic_depvary_step3_batch_yyy08.pl,a2,yes,1
exp_acyclic_depvary_step3_batch_yyy08.pl,c2,yes,8
exp_acyclic_depvary_step3_batch_yyy08.pl,b1,yes,9
exp_acyclic_depvary_step3_batch_yyy09.pl,w1,no,2
exp_acyclic_depvary_step3_batch_yyy10.pl,b1,no,0
exp_acyclic_depvary_step3_batch_yyy10.pl,d1,no,248
exp_acyclic_depvary_step4_batch_yyy01.pl,w2,yes,24
exp_acyclic_depvary_step4_batch_yyy01.pl,s2,no,1030
exp_acyclic_depvary_step4_batch_yyy01.pl,c3,no,0
exp_acyclic_depvary_step4_batch_yyy01.pl,a2,no,0
exp_acyclic_depvary_step4_batch_yyy02.pl,f1,no,0
exp_acyclic_depvary_step4_batch_yyy02.pl,d2,yes,2
exp_acyclic_depvary_step4_batch_yyy02.pl,a2,no,1
exp_acyclic_depvary_step4_batch_yyy02.pl,z2,no,1
exp_acyclic_depvary_step4_batch_yyy03.pl,b2,yes,3
exp_acyclic_depvary_step4_batch_yyy04.pl,p2,no,1855
exp_acyclic_depvary_step4_batch_yyy05.pl,x1,yes,7080
exp_acyclic_depvary_step4_batch_yyy05.pl,b3,yes,1
exp_acyclic_depvary_step4_batch_yyy05.pl,a2,yes,2
exp_acyclic_depvary_step4_batch_yyy06.pl,d1,no,1
exp_acyclic_depvary_step4_batch_yyy07.pl,e1,no,0
exp_acyclic_depvary_step4_batch_yyy07.pl,b3,yes,0
exp_acyclic_depvary_step4_batch_yyy08.pl,q2,no,628
exp_acyclic_depvary_step4_batch_yyy09.pl,d2,yes,3
exp_acyclic_depvary_step4_batch_yyy10.pl,a1,yes,2
exp_acyclic_depvary_step4_batch_yyy10.pl,d1,yes,106
exp_acyclic_depvary_step5_batch_yyy01.pl,b3,yes,12
exp_acyclic_depvary_step5_batch_yyy01.pl,c3,yes,15
exp_acyclic_depvary_step5_batch_yyy02.pl,e2,no,28815
exp_acyclic_depvary_step5_batch_yyy03.pl,c2,timeout,120026
exp_acyclic_depvary_step5_batch_yyy03.pl,e3,yes,45
exp_acyclic_depvary_step5_batch_yyy03.pl,b2,yes,29489
exp_acyclic_depvary_step5_batch_yyy04.pl,f1,yes,2094
exp_acyclic_depvary_step5_batch_yyy04.pl,z2,no,91057
exp_acyclic_depvary_step5_batch_yyy04.pl,t1,no,33404
exp_acyclic_depvary_step5_batch_yyy05.pl,e2,yes,0
exp_acyclic_depvary_step5_batch_yyy05.pl,d1,yes,5
exp_acyclic_depvary_step5_batch_yyy05.pl,r3,no,5727
exp_acyclic_depvary_step5_batch_yyy06.pl,c2,no,19
exp_acyclic_depvary_step5_batch_yyy07.pl,s1,yes,2
exp_acyclic_depvary_step5_batch_yyy07.pl,b2,no,28269
exp_acyclic_depvary_step5_batch_yyy08.pl,b2,no,0
exp_acyclic_depvary_step5_batch_yyy09.pl,b3,no,2
exp_acyclic_depvary_step5_batch_yyy09.pl,e2,no,1
exp_acyclic_depvary_step5_batch_yyy10.pl,a2,no,1
exp_acyclic_depvary_step5_batch_yyy10.pl,q1,yes,26
exp_acyclic_depvary_step5_batch_yyy10.pl,p2,no,3980
exp_acyclic_depvary_step5_batch_yyy10.pl,e1,no,1
exp_acyclic_depvary_step6_batch_yyy01.pl,f1,yes,116
