instance,goal,verdict,duration
exp_acyclic_depvary_step10_batch_yyy01.pl,c2,yes,443
exp_acyclic_depvary_step10_batch_yyy01.pl,a5,no,21
exp_acyclic_depvary_step10_batch_yyy01.pl,a1,yes,33118
exp_acyclic_depvary_step10_batch_yyy01.pl,v5,yes,15999
exp_acyclic_depvary_step10_batch_yyy02.pl,f3,yes,50
exp_acyclic_depvary_step10_batch_yyy02.pl,e2,yes,31
exp_acyclic_depvary_step10_batch_yyy02.pl,u2,yes,39
exp_acyclic_depvary_step10_batch_yyy02.pl,c4,yes,1
exp_acyclic_depvary_step10_batch_yyy02.pl,a4,yes,46
exp_acyclic_depvary_step10_batch_yyy02.pl,a2,yes,31
exp_acyclic_depvary_step10_batch_yyy02.pl,a3,yes,44
exp_acyclic_depvary_step10_batch_yyy03.pl,c3,timeout,120001
exp_acyclic_depvary_step10_batch_yyy03.pl,q4,timeout,120000
exp_acyclic_depvary_step10_batch_yyy03.pl,u1,timeout,120001
exp_acyclic_depvary_step10_batch_yyy03.pl,v4,timeout,120000
exp_acyclic_depvary_step10_batch_yyy03.pl,x1,no,248
exp_acyclic_depvary_step10_batch_yyy03.pl,a2,timeout,120000
exp_acyclic_depvary_step10_batch_yyy04.pl,s5,yes,48943
exp_acyclic_depvary_step10_batch_yyy04.pl,f1,timeout,120001
exp_acyclic_depvary_step10_batch_yyy04.pl,d5,yes,3053
exp_acyclic_depvary_step10_batch_yyy05.pl,e5,no,1406
exp_acyclic_depvary_step10_batch_yyy05.pl,b4,yes,44
exp_acyclic_depvary_step10_batch_yyy05.pl,d4,yes,1074
exp_acyclic_depvary_step10_batch_yyy05.pl,a3,no,33
exp_acyclic_depvary_step10_batch_yyy05.pl,b6,yes,44
exp_acyclic_depvary_step10_batch_yyy06.pl,t2,no,21
exp_acyclic_depvary_step10_batch_yyy06.pl,f3,no,32
exp_acyclic_depvary_step10_batch_yyy06.pl,f5,yes,29
exp_acyclic_depvary_step10_batch_yyy06.pl,a1,no,18
exp_acyclic_depvary_step10_batch_yyy07.pl,f5,no,108
exp_acyclic_depvary_step10_batch_yyy07.pl,d5,no,105
exp_acyclic_depvary_step10_batch_yyy08.pl,b1,yes,36
exp_acyclic_depvary_step10_batch_yyy08.pl,q5,timeout,120000
exp_acyclic_depvary_step10_batch_yyy08.pl,v5,timeout,120000
exp_acyclic_depvary_step10_batch_yyy08.pl,d5,yes,32
exp_acyclic_depvary_step10_batch_yyy09.pl,e1,no,32
exp_acyclic_depvary_step10_batch_yyy09.pl,q5,yes,1183
exp_acyclic_depvary_step10_batch_yyy09.pl,u1,yes,66
exp_acyclic_depvary_step10_batch_yyy09.pl,f1,no,12
exp_acyclic_depvary_step10_batch_yyy09.pl,s1,no,11
exp_acyclic_depvary_step10_batch_yyy09.pl,f2,no,16
exp_acyclic_depvary_step10_batch_yyy09.pl,c3,no,30
exp_acyclic_depvary_step10_batch_yyy10.pl,d2,yes,0
exp_acyclic_depvary_step10_batch_yyy10.pl,e1,yes,0
exp_acyclic_depvary_step10_batch_yyy10.pl,e2,no,31
exp_acyclic_depvary_step10_batch_yyy10.pl,a5,no,39
exp_acyclic_depvary_step10_batch_yyy10.pl,c4,no,32
exp_acyclic_depvary_step1_batch_yyy01.pl,t1,yes,1
exp_acyclic_depvary_step1_batch_yyy02.pl,e1,yes,0
exp_acyclic_depvary_step1_batch_yyy03.pl,d1,yes,0
exp_acyclic_depvary_step1_batch_yyy04.pl,d1,no,0
exp_acyclic_depvary_step1_batch_yyy06.pl,c1,no,0
exp_acyclic_depvary_step1_batch_yyy06.pl,b1,yes,0
exp_acyclic_depvary_step1_batch_yyy09.pl,y1,no,2
exp_acyclic_depvary_step1_batch_yyy09.pl,d1,yes,0
exp_acyclic_depvary_step1_batch_yyy10.pl,u1,yes,1
exp_acyclic_depvary_step2_batch_yyy01.pl,e1,yes,0
exp_acyclic_depvary_step2_batch_yyy01.pl,d1,no,0
exp_acyclic_depvary_step2_batch_yyy01.pl,b2,no,2
exp_acyclic_depvary_step2_batch_yyy02.pl,b1,yes,1
exp_acyclic_depvary_step2_batch_yyy02.pl,a2,no,0
exp_acyclic_depvary_step2_batch_yyy02.pl,d1,no,0
