instance,goal,verdict,duration
exp_acyclic_depvary_step10_batch_yyy01.pl,c2,yes,454
exp_acyclic_depvary_step10_batch_yyy01.pl,a5,no,18
exp_acyclic_depvary_step10_batch_yyy01.pl,a1,yes,292
exp_acyclic_depvary_step10_batch_yyy01.pl,v5,yes,17281
exp_acyclic_depvary_step10_batch_yyy02.pl,f3,yes,82
exp_acyclic_depvary_step10_batch_yyy02.pl,e2,yes,28
exp_acyclic_depvary_step10_batch_yyy02.pl,u2,yes,54
exp_acyclic_depvary_step10_batch_yyy02.pl,c4,yes,1
exp_acyclic_depvary_step10_batch_yyy02.pl,a4,yes,65
exp_acyclic_depvary_step10_batch_yyy02.pl,a2,yes,53
exp_acyclic_depvary_step10_batch_yyy02.pl,a3,yes,103
exp_acyclic_depvary_step10_batch_yyy03.pl,c3,yes,383
exp_acyclic_depvary_step10_batch_yyy03.pl,q4,yes,24
exp_acyclic_depvary_step10_batch_yyy03.pl,u1,yes,1539
exp_acyclic_depvary_step10_batch_yyy03.pl,v4,yes,21242
exp_acyclic_depvary_step10_batch_yyy03.pl,x1,no,50799
exp_acyclic_depvary_step10_batch_yyy03.pl,a2,yes,270
exp_acyclic_depvary_step10_batch_yyy04.pl,s5,yes,4041
exp_acyclic_depvary_step10_batch_yyy04.pl,f1,yes,23133
exp_acyclic_depvary_step10_batch_yyy04.pl,d5,yes,144
exp_acyclic_depvary_step10_batch_yyy05.pl,e5,no,5374
exp_acyclic_depvary_step10_batch_yyy05.pl,b4,yes,60
exp_acyclic_depvary_step10_batch_yyy05.pl,d4,yes,1350
exp_acyclic_depvary_step10_batch_yyy05.pl,a3,no,7
exp_acyclic_depvary_step10_batch_yyy05.pl,b6,yes,39
exp_acyclic_depvary_step10_batch_yyy06.pl,t2,no,20
exp_acyclic_depvary_step10_batch_yyy06.pl,f3,no,2
exp_acyclic_depvary_step10_batch_yyy06.pl,f5,yes,6
exp_acyclic_depvary_step10_batch_yyy06.pl,a1,no,2
exp_acyclic_depvary_step10_batch_yyy07.pl,f5,no,4393
exp_acyclic_depvary_step10_batch_yyy07.pl,d5,no,4358
exp_acyclic_depvary_step10_batch_yyy08.pl,b1,yes,31
exp_acyclic_depvary_step10_batch_yyy08.pl,q5,timeout,120000
exp_acyclic_depvary_step10_batch_yyy08.pl,v5,timeout,120001
exp_acyclic_depvary_step10_batch_yyy08.pl,d5,yes,25
exp_acyclic_depvary_step10_batch_yyy09.pl,e1,no,15
exp_acyclic_depvary_step10_batch_yyy09.pl,q5,yes,38
exp_acyclic_depvary_step10_batch_yyy09.pl,u1,yes,23614
exp_acyclic_depvary_step10_batch_yyy09.pl,f1,no,6
exp_acyclic_depvary_step10_batch_yyy09.pl,s1,no,11
exp_acyclic_depvary_step10_batch_yyy09.pl,f2,no,2
exp_acyclic_depvary_step10_batch_yyy09.pl,c3,no,2
exp_acyclic_depvary_step10_batch_yyy10.pl,d2,yes,0
exp_acyclic_depvary_step10_batch_yyy10.pl,e1,yes,0
exp_acyclic_depvary_step10_batch_yyy10.pl,e2,no,3
exp_acyclic_depvary_step10_batch_yyy10.pl,a5,no,2
exp_acyclic_depvary_step10_batch_yyy10.pl,c4,no,4
exp_acyclic_depvary_step1_batch_yyy01.pl,t1,yes,1
exp_acyclic_depvary_step1_batch_yyy02.pl,e1,yes,0
exp_acyclic_depvary_step1_batch_yyy03.pl,d1,yes,0
exp_acyclic_depvary_step1_batch_yyy04.pl,d1,no,0
exp_acyclic_depvary_step1_batch_yyy06.pl,c1,no,0
exp_acyclic_depvary_step1_batch_yyy06.pl,b1,yes,0
exp_acyclic_depvary_step1_batch_yyy09.pl,y1,no,2
exp_acyclic_depvary_step1_batch_yyy09.pl,d1,yes,0
exp_acyclic_depvary_step1_batch_yyy10.pl,u1,yes,2
exp_acyclic_depvary_step2_batch_yyy01.pl,e1,yes,0
exp_acyclic_depvary_step2_batch_yyy01.pl,d1,no,0
exp_acyclic_depvary_step2_batch_yyy01.pl,b2,no,3
exp_acyclic_depvary_step2_batch_yyy02.pl,b1,yes,1
exp_acyclic_depvary_step2_batch_yyy02.pl,a2,no,0
